repository_path,line,kind,excerpt
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,60,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_30_4V_lowINTER_1c_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,64,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_30_4V_lowINTER_1c_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,68,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_30_4V_lowINTER_1c_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,72,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_30_4V_lowINTER_1c_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,76,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_30_4V_lowINTER_1c_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,80,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_70_4V_lowINTER_1c_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,84,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_70_4V_lowINTER_1c_L2.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,88,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_70_4V_lowINTER_1c_L3.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,92,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_70_4V_lowINTER_1c_L4.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,96,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim1000_70_4V_lowINTER_1c_L5.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,101,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_30_4V_midINTER_1c_L1.xlsx""), sheet = .x))"
01_simulation/02_generation/training/4v_1c/4_模拟数据3_生成Y_V4.R,105,input_or_working_directory,"~ read_xlsx(file.path(input_dir, ""sim500_30_4V_midINTER_1c_L2.xlsx""), sheet = .x))"
